measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,death,1,global,3,all,22,all,545,Epilepsy,1,Number,2015,134422.5010933486,146616.8637770299,113374.3935656376
1,death,1,global,3,all,22,all,545,Epilepsy,2,Percent,2015,0.002455284289863242,0.002675236621024733,0.0020780117597366415
1,death,1,global,3,all,22,all,545,Epilepsy,3,Rate,2015,1.817401702942391,1.982270347160145,1.5328298034952006
1,death,1,global,3,all,22,all,545,Epilepsy,1,Number,2019,140647.32772867102,153210.0362355013,118903.77725925001
1,death,1,global,3,all,22,all,545,Epilepsy,2,Percent,2019,0.002468509356731539,0.0026685443773199757,0.0020896925973484266
1,death,1,global,3,all,22,all,545,Epilepsy,3,Rate,2019,1.8158988128066849,1.9780960463524122,1.5351676526683693
1,death,1,global,3,all,22,all,545,Epilepsy,1,Number,2018,139519.7188607688,153191.53843613074,118342.08865481456
1,death,1,global,3,all,22,all,545,Epilepsy,2,Percent,2018,0.002473900225811607,0.0026888948049414744,0.002084124885723119
1,death,1,global,3,all,22,all,545,Epilepsy,3,Rate,2018,1.820924374724159,1.9993604389227315,1.5445271503332456
1,death,1,global,3,all,22,all,545,Epilepsy,1,Number,2016,137296.45743727326,150593.2510672279,117277.97629758337
1,death,1,global,3,all,22,all,545,Epilepsy,2,Percent,2016,0.002480938105157827,0.0026976973870443143,0.0020984867598594793
1,death,1,global,3,all,22,all,545,Epilepsy,3,Rate,2016,1.8338930486822087,2.0115006713615973,1.5665026578993624
1,death,1,global,3,all,22,all,545,Epilepsy,1,Number,2021,139850.92648451487,153369.61685194672,116952.54624191058
1,death,1,global,3,all,22,all,545,Epilepsy,2,Percent,2021,0.0020604279979731855,0.0022206532212429727,0.0017198015049266506
1,death,1,global,3,all,22,all,545,Epilepsy,3,Rate,2021,1.7722046036313914,1.9435147687226668,1.4820340920607098
1,death,1,global,3,all,22,all,545,Epilepsy,1,Number,2017,139769.28245681679,152581.8340845087,117874.94596169768
1,death,1,global,3,all,22,all,545,Epilepsy,2,Percent,2017,0.002503737490910392,0.0027248694871435386,0.0021183857547233307
1,death,1,global,3,all,22,all,545,Epilepsy,3,Rate,2017,1.8450039300889218,2.014134140189718,1.5559909497678384
1,death,1,global,3,all,22,all,545,Epilepsy,1,Number,2020,140458.00924945463,153673.19401691042,117685.39492200188
1,death,1,global,3,all,22,all,545,Epilepsy,2,Percent,2020,0.002225061031898263,0.0024072186103013433,0.001863363864189956
1,death,1,global,3,all,22,all,545,Epilepsy,3,Rate,2020,1.7955954857749232,1.9645365539199402,1.5044735789205732
5,prevalence,1,global,3,all,22,all,567,Depression,1,Number,2015,270559393.8940838,301120071.2329674,244240052.68266016
5,prevalence,1,global,3,all,22,all,567,Depression,2,Percent,2015,0.0378785668857998,0.0421740980870027,0.034205926800256
5,prevalence,1,global,3,all,22,all,567,Depression,3,Rate,2015,3657.98210277833,4071.16461751364,3302.1427518593405
5,prevalence,1,global,3,all,22,all,567,Depression,1,Number,2016,275142497.0406152,306318873.01976633,248039292.0668018
5,prevalence,1,global,3,all,22,all,567,Depression,2,Percent,2016,0.0380659026046927,0.0424353635032408,0.0343287145675613
5,prevalence,1,global,3,all,22,all,567,Depression,3,Rate,2016,3675.1269634934197,4091.55532776778,3313.10466425679
5,prevalence,1,global,3,all,22,all,567,Depression,1,Number,2017,279636811.896842,312274513.5863458,251731597.686952
5,prevalence,1,global,3,all,22,all,567,Depression,2,Percent,2017,0.0382394592122489,0.0427340065834424,0.0344475023687373
5,prevalence,1,global,3,all,22,all,567,Depression,3,Rate,2017,3691.30475508172,4122.13395322696,3322.94606437208
5,prevalence,1,global,3,all,22,all,567,Depression,1,Number,2018,284143598.8479649,317638455.54649687,255888035.3207896
5,prevalence,1,global,3,all,22,all,567,Depression,2,Percent,2018,0.0384182473947178,0.0430331786666776,0.0346197119252661
5,prevalence,1,global,3,all,22,all,567,Depression,3,Rate,2018,3708.46507783201,4145.61906214526,3339.6910810929203
5,prevalence,1,global,3,all,22,all,567,Depression,1,Number,2019,288755900.0362976,322807718.57369924,260340315.43758985
5,prevalence,1,global,3,all,22,all,567,Depression,2,Percent,2019,0.0386185047152759,0.0432318247245947,0.0348418732365378
5,prevalence,1,global,3,all,22,all,567,Depression,3,Rate,2019,3728.12981614829,4167.773127219681,3361.2559681250596
5,prevalence,1,global,3,all,22,all,567,Depression,1,Number,2020,325299034.0529811,368443332.6700124,291525167.999707
5,prevalence,1,global,3,all,22,all,567,Depression,2,Percent,2020,0.043046291389245,0.0487954544559423,0.0385629120620181
5,prevalence,1,global,3,all,22,all,567,Depression,3,Rate,2020,4158.57721602119,4710.12787694563,3726.81685043947
5,prevalence,1,global,3,all,22,all,567,Depression,1,Number,2021,332410333.2661122,376102441.5301885,297742040.8388543
5,prevalence,1,global,3,all,22,all,567,Depression,2,Percent,2021,0.0435904771761116,0.0493763068290703,0.0390310051506687
5,prevalence,1,global,3,all,22,all,567,Depression,3,Rate,2021,4212.336219124551,4766.00688369846,3773.0162304477
5,prevalence,1,global,3,all,22,all,547,Migraine,1,Number,2015,1075794367.1970365,1235481072.156322,925182715.024916
5,prevalence,1,global,3,all,22,all,547,Migraine,2,Percent,2015,0.150611677203219,0.1729687073569107,0.1293995997478678
5,prevalence,1,global,3,all,22,all,547,Migraine,3,Rate,2015,14544.81577903381,16703.791301507757,12508.53561080146
5,prevalence,1,global,3,all,22,all,547,Migraine,1,Number,2016,1089698037.4872649,1251874617.0384378,936286227.1636584
5,prevalence,1,global,3,all,22,all,547,Migraine,2,Percent,2016,0.1507589090835843,0.1731248436764232,0.1293981230505591
5,prevalence,1,global,3,all,22,all,547,Migraine,3,Rate,2016,14555.28928722395,16721.51052446041,12506.14062170392
5,prevalence,1,global,3,all,22,all,547,Migraine,1,Number,2017,1105178845.0763748,1270776952.438207,948614440.4816688
5,prevalence,1,global,3,all,22,all,547,Migraine,2,Percent,2017,0.1511291323570456,0.1736083546480189,0.1297111116701901
5,prevalence,1,global,3,all,22,all,547,Migraine,3,Rate,2017,14588.75138210024,16774.70493017163,12522.045903530521
5,prevalence,1,global,3,all,22,all,547,Migraine,1,Number,2018,1120624600.950235,1287772857.1304808,962781346.51923
5,prevalence,1,global,3,all,22,all,547,Migraine,2,Percent,2018,0.1515157947863859,0.1742649249643683,0.1301716424202681
5,prevalence,1,global,3,all,22,all,547,Migraine,3,Rate,2018,14625.693539578899,16807.20835595395,12565.62180401277
5,prevalence,1,global,3,all,22,all,547,Migraine,1,Number,2019,1134269445.2652776,1303115775.7674503,974336099.0058428
5,prevalence,1,global,3,all,22,all,547,Migraine,2,Percent,2019,0.1516976220839905,0.1744131341532835,0.1302813553648248
5,prevalence,1,global,3,all,22,all,547,Migraine,3,Rate,2019,14644.56219910279,16824.53857019425,12579.661441365131
5,prevalence,1,global,3,all,22,all,547,Migraine,1,Number,2020,1146117440.5581422,1316896412.249147,984344137.9193618
5,prevalence,1,global,3,all,22,all,547,Migraine,2,Percent,2020,0.1516632119706888,0.1744286907221348,0.1301382141737528
